,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,BK,STT,HSBC,BCS,LYG,DB,SAN,BBVA,ING,UBS,MUFG,SMFG,MFG,NMR,RY,TD,BNS,ITUB,BBD,AAPL,MSFT,XOM,WMT,BA,T,TM,VWAGY,SIEGY,PBR,IDCBY,DBSDY,IBN,KB,CMWAY,WBC.AX,1120.SR,QNBK.QA,SGBLY,FANDY
JPM,1.000000,0.832595,0.769175,0.740045,0.734446,0.725996,0.666682,0.737440,0.584064,0.668162,0.607823,0.545510,0.619575,0.555846,0.610577,0.617170,0.597465,0.622326,0.539179,0.391421,0.345553,0.346950,0.377745,0.631466,0.643176,0.612292,0.362995,0.280677,0.375297,0.341339,0.328950,0.193625,0.423388,0.338226,0.394247,0.516248,0.513608,0.236457,0.255176,0.372601,0.477048,0.494663,0.504870,0.300078,0.175372,0.055447,0.329241,0.092585
BAC,0.832595,1.000000,0.821200,0.827236,0.762337,0.750947,0.772011,0.799140,0.748474,0.756425,0.714835,0.579194,0.665604,0.628645,0.653597,0.662270,0.608463,0.644143,0.590391,0.463128,0.440655,0.428835,0.425576,0.669663,0.683317,0.679153,0.397246,0.327180,0.346184,0.328023,0.374290,0.177700,0.424790,0.358854,0.420522,0.539528,0.500078,0.287961,0.263993,0.422179,0.479744,0.466201,0.475015,0.335327,0.207994,0.097602,0.340804,0.109392
C,0.769175,0.821200,1.000000,0.737806,0.745663,0.733889,0.720330,0.715628,0.681561,0.723645,0.681484,0.538521,0.638872,0.600834,0.592503,0.628795,0.590424,0.596933,0.570699,0.426677,0.426674,0.412549,0.431679,0.641651,0.649860,0.662163,0.375650,0.301653,0.353798,0.339962,0.417267,0.135094,0.424533,0.382814,0.406813,0.487612,0.527481,0.297289,0.263731,0.428350,0.438529,0.474015,0.519938,0.298181,0.168386,0.080263,0.313038,0.091565
WFC,0.740045,0.827236,0.737806,1.000000,0.696161,0.674029,0.730918,0.723052,0.682896,0.704865,0.670986,0.551923,0.633418,0.603574,0.598432,0.619842,0.587586,0.605465,0.550092,0.412968,0.392670,0.379334,0.369957,0.630341,0.659671,0.618032,0.371550,0.316585,0.365381,0.334403,0.363195,0.159040,0.430821,0.315584,0.383172,0.486263,0.499735,0.296704,0.243832,0.409347,0.491013,0.419527,0.463729,0.307524,0.163963,0.092997,0.306954,0.093412
GS,0.734446,0.762337,0.745663,0.696161,1.000000,0.816415,0.638767,0.689220,0.636325,0.695901,0.681063,0.489486,0.590338,0.569938,0.585911,0.589918,0.574383,0.582307,0.564357,0.431785,0.429392,0.401782,0.424538,0.633461,0.600738,0.634974,0.368975,0.296213,0.426917,0.406723,0.366226,0.228764,0.464158,0.299359,0.426118,0.506227,0.565202,0.256159,0.232452,0.393847,0.497858,0.446347,0.527160,0.294941,0.209798,0.066435,0.361474,0.117854
MS,0.725996,0.750947,0.733889,0.674029,0.816415,1.000000,0.640121,0.696147,0.597898,0.687024,0.653697,0.503309,0.608808,0.582045,0.598652,0.593064,0.581333,0.593165,0.610373,0.402113,0.398815,0.377622,0.396220,0.616032,0.588782,0.632853,0.344385,0.274520,0.428052,0.429640,0.347090,0.180788,0.438805,0.273363,0.425358,0.530323,0.573557,0.253343,0.253019,0.411594,0.464455,0.478354,0.543590,0.265373,0.194886,0.030009,0.301816,0.109325
USB,0.666682,0.772011,0.720330,0.730918,0.638767,0.640121,1.000000,0.766195,0.830646,0.740690,0.681853,0.511711,0.616658,0.578771,0.541573,0.616386,0.563255,0.570187,0.535524,0.447030,0.419216,0.405010,0.384803,0.620555,0.643793,0.637296,0.329577,0.289820,0.295878,0.247512,0.374672,0.124508,0.372672,0.383625,0.339703,0.428622,0.440625,0.244823,0.253046,0.373484,0.411013,0.385664,0.467220,0.266888,0.152893,0.115277,0.321037,0.098303
PNC,0.737440,0.799140,0.715628,0.723052,0.689220,0.696147,0.766195,1.000000,0.759021,0.698703,0.684712,0.509919,0.597079,0.605185,0.555829,0.601214,0.575132,0.603054,0.543691,0.433489,0.418458,0.404174,0.401745,0.626106,0.654210,0.632630,0.344877,0.295929,0.366893,0.339297,0.376550,0.188448,0.403806,0.316213,0.376035,0.467537,0.459984,0.244894,0.263866,0.380304,0.501939,0.429806,0.473460,0.247352,0.175593,0.109222,0.326622,0.114920
TFC,0.584064,0.748474,0.681561,0.682896,0.636325,0.597898,0.830646,0.759021,1.000000,0.714852,0.669777,0.470044,0.562451,0.551654,0.533021,0.587108,0.535286,0.552892,0.542149,0.459603,0.455939,0.431007,0.402577,0.586218,0.611061,0.615876,0.337135,0.308831,0.320594,0.276987,0.348874,0.132658,0.341997,0.321258,0.330434,0.417493,0.400650,0.250667,0.248001,0.404539,0.415108,0.394711,0.428241,0.233366,0.101171,0.113170,0.322415,0.109501
BK,0.668162,0.756425,0.723645,0.704865,0.695901,0.687024,0.740690,0.698703,0.714852,1.000000,0.867087,0.522549,0.606618,0.585102,0.604654,0.649391,0.612850,0.632772,0.634681,0.459163,0.430030,0.417283,0.429093,0.648656,0.641906,0.642882,0.343142,0.287307,0.376688,0.371708,0.395650,0.185302,0.447444,0.387501,0.420909,0.486978,0.510260,0.234999,0.219000,0.398038,0.461655,0.423116,0.512054,0.275497,0.163932,0.083173,0.287183,0.109151
STT,0.607823,0.714835,0.681484,0.670986,0.681063,0.653697,0.681853,0.684712,0.669777,0.867087,1.000000,0.489325,0.560011,0.538405,0.569623,0.603894,0.580986,0.599665,0.589662,0.424468,0.411578,0.403142,0.379623,0.594412,0.578759,0.609046,0.348068,0.285497,0.397426,0.395108,0.397651,0.215273,0.437331,0.386661,0.405211,0.470624,0.491718,0.262205,0.206720,0.397932,0.439736,0.402851,0.489972,0.253152,0.148461,0.087820,0.299791,0.105361
HSBC,0.545510,0.579194,0.538521,0.551923,0.489486,0.503309,0.511711,0.509919,0.470044,0.522549,0.489325,1.000000,0.693385,0.647279,0.629601,0.650938,0.588832,0.642923,0.530165,0.476276,0.443426,0.395160,0.374825,0.579602,0.559842,0.527625,0.372851,0.362121,0.251699,0.233285,0.313329,0.144377,0.376451,0.217605,0.379765,0.482005,0.459385,0.313114,0.348162,0.396395,0.398888,0.432927,0.449783,0.319227,0.143586,0.134148,0.348320,0.178589
BCS,0.619575,0.665604,0.638872,0.633418,0.590338,0.608808,0.616658,0.597079,0.562451,0.606618,0.560011,0.693385,1.000000,0.794979,0.707498,0.733231,0.691883,0.727854,0.642472,0.484790,0.476337,0.405800,0.391027,0.614112,0.633925,0.609000,0.381119,0.364563,0.302059,0.280429,0.310945,0.107664,0.428184,0.291187,0.385583,0.563644,0.552957,0.289285,0.276570,0.425847,0.482077,0.492992,0.533945,0.345600,0.154986,0.050230,0.394841,0.162486
LYG,0.555846,0.628645,0.600834,0.603574,0.569938,0.582045,0.578771,0.605185,0.551654,0.585102,0.538405,0.647279,0.794979,1.000000,0.712440,0.717047,0.668869,0.686785,0.657993,0.466947,0.467806,0.429390,0.395135,0.605640,0.604918,0.594799,0.422474,0.384805,0.333766,0.341466,0.310821,0.122997,0.465726,0.283783,0.416347,0.602084,0.571971,0.279610,0.282433,0.429348,0.526579,0.414093,0.491387,0.265049,0.141447,0.055160,0.389768,0.182561
DB,0.610577,0.653597,0.592503,0.598432,0.585911,0.598652,0.541573,0.555829,0.533021,0.604654,0.569623,0.629601,0.707498,0.712440,1.000000,0.769975,0.735455,0.750680,0.710431,0.474324,0.460134,0.422936,0.396279,0.581740,0.595810,0.564188,0.390204,0.359310,0.334130,0.301506,0.292379,0.132358,0.470603,0.231952,0.396019,0.596620,0.602559,0.254561,0.249835,0.427230,0.471677,0.445969,0.447550,0.305728,0.164226,0.040813,0.394941,0.122233
SAN,0.617170,0.662270,0.628795,0.619842,0.589918,0.593064,0.616386,0.601214,0.587108,0.649391,0.603894,0.650938,0.733231,0.717047,0.769975,1.000000,0.841333,0.771578,0.674329,0.481192,0.464442,0.438280,0.405755,0.603195,0.645728,0.590156,0.472068,0.427793,0.346154,0.345142,0.300350,0.124069,0.467186,0.357307,0.399924,0.598039,0.585690,0.246061,0.286378,0.438773,0.478133,0.456730,0.516790,0.309686,0.139531,0.075242,0.419980,0.129062
BBVA,0.597465,0.608463,0.590424,0.587586,0.574383,0.581333,0.563255,0.575132,0.535286,0.612850,0.580986,0.588832,0.691883,0.668869,0.735455,0.841333,1.000000,0.768013,0.691308,0.455087,0.466199,0.424853,0.383252,0.568772,0.571960,0.536431,0.419879,0.371234,0.357902,0.393870,0.262980,0.168716,0.449357,0.296279,0.430487,0.614348,0.620458,0.231045,0.254784,0.413834,0.492038,0.486856,0.529672,0.285775,0.168623,0.095557,0.392437,0.093890
ING,0.622326,0.644143,0.596933,0.605465,0.582307,0.593165,0.570187,0.603054,0.552892,0.632772,0.599665,0.642923,0.727854,0.686785,0.750680,0.771578,0.768013,1.000000,0.682177,0.474770,0.471081,0.410751,0.441723,0.581863,0.595626,0.548484,0.403631,0.366351,0.336708,0.343994,0.267159,0.114389,0.486850,0.268245,0.416055,0.621841,0.602590,0.253362,0.269703,0.450277,0.510516,0.462709,0.479264,0.284873,0.128447,0.059492,0.411053,0.101878
UBS,0.539179,0.590391,0.570699,0.550092,0.564357,0.610373,0.535524,0.543691,0.542149,0.634681,0.589662,0.530165,0.642472,0.657993,0.710431,0.674329,0.691308,0.682177,1.000000,0.408805,0.401168,0.365813,0.419621,0.582418,0.549195,0.560233,0.362783,0.315006,0.363263,0.363384,0.326362,0.151214,0.432179,0.259969,0.361545,0.584107,0.601995,0.249982,0.233238,0.399232,0.437529,0.419050,0.502997,0.297474,0.192279,0.051742,0.363011,0.140827
MUFG,0.391421,0.463128,0.426677,0.412968,0.431785,0.402113,0.447030,0.433489,0.459603,0.459163,0.424468,0.476276,0.484790,0.466947,0.474324,0.481192,0.455087,0.474770,0.408805,1.000000,0.893204,0.814687,0.568692,0.394502,0.433743,0.445550,0.251551,0.201922,0.210364,0.209602,0.256218,0.150920,0.292685,0.200110,0.458426,0.330128,0.363253,0.243641,0.252430,0.338688,0.305711,0.338177,0.376853,0.217304,0.101800,-0.077854,0.256873,0.147087
SMFG,0.345553,0.440655,0.426674,0.392670,0.429392,0.398815,0.419216,0.418458,0.455939,0.430030,0.411578,0.443426,0.476337,0.467806,0.460134,0.464442,0.466199,0.471081,0.401168,0.893204,1.000000,0.824490,0.584499,0.385034,0.416425,0.434443,0.231506,0.202820,0.221326,0.210886,0.239118,0.117969,0.279652,0.176011,0.449924,0.324279,0.374722,0.210647,0.248532,0.365513,0.300522,0.326227,0.378887,0.200537,0.089978,-0.061295,0.280192,0.113178
MFG,0.346950,0.428835,0.412549,0.379334,0.401782,0.377622,0.405010,0.404174,0.431007,0.417283,0.403142,0.395160,0.405800,0.429390,0.422936,0.438280,0.424853,0.410751,0.365813,0.814687,0.824490,1.000000,0.549765,0.334338,0.368397,0.393126,0.216682,0.159070,0.235233,0.214786,0.215126,0.122837,0.256339,0.148441,0.447193,0.317299,0.372384,0.173256,0.241038,0.343892,0.306464,0.276226,0.339179,0.178821,0.056686,-0.077401,0.240009,0.136986
NMR,0.377745,0.425576,0.431679,0.369957,0.424538,0.396220,0.384803,0.401745,0.402577,0.429093,0.379623,0.374825,0.391027,0.395135,0.396279,0.405755,0.383252,0.441723,0.419621,0.568692,0.584499,0.549765,1.000000,0.421787,0.399170,0.453211,0.277292,0.206648,0.290755,0.280849,0.209845,0.159958,0.275537,0.211452,0.460587,0.376075,0.419069,0.247674,0.259681,0.372262,0.310033,0.298391,0.426687,0.267826,0.087061,-0.021408,0.272864,0.112433
RY,0.631466,0.669663,0.641651,0.630341,0.633461,0.616032,0.620555,0.626106,0.586218,0.648656,0.594412,0.579602,0.614112,0.605640,0.581740,0.603195,0.568772,0.581863,0.582418,0.394502,0.385034,0.334338,0.421787,1.000000,0.765679,0.783707,0.414726,0.363621,0.453154,0.392698,0.436660,0.254574,0.453652,0.406216,0.407075,0.529828,0.547263,0.287183,0.314856,0.466391,0.464785,0.490363,0.598272,0.337037,0.229349,0.116120,0.403741,0.141750
TD,0.643176,0.683317,0.649860,0.659671,0.600738,0.588782,0.643793,0.654210,0.611061,0.641906,0.578759,0.559842,0.633925,0.604918,0.595810,0.645728,0.571960,0.595626,0.549195,0.433743,0.416425,0.368397,0.399170,0.765679,1.000000,0.750596,0.415210,0.368127,0.397690,0.355300,0.454396,0.224849,0.460317,0.364643,0.400575,0.515552,0.535597,0.325379,0.296290,0.449575,0.470410,0.473236,0.570547,0.288436,0.188881,0.097198,0.379003,0.143634
BNS,0.612292,0.679153,0.662163,0.618032,0.634974,0.632853,0.637296,0.632630,0.615876,0.642882,0.609046,0.527625,0.609000,0.594799,0.564188,0.590156,0.536431,0.548484,0.560233,0.445550,0.434443,0.393126,0.453211,0.783707,0.750596,1.000000,0.393981,0.339590,0.419027,0.393890,0.415010,0.212512,0.419808,0.384704,0.426812,0.515770,0.527900,0.302726,0.345849,0.451401,0.448410,0.491147,0.593792,0.336955,0.250284,0.059329,0.371375,0.176432
