,JPM,C,GS,MS,HSBC,BCS,DB,UBS,ING,MUFG,NMR,MFG,ICBC,BOC,PINGAN,DBS,ICICI,SHIN,SBK
JPM,1.000000,0.691543,0.723532,0.638708,0.624178,0.584215,0.705480,0.694260,0.610120,0.530842,0.464587,0.450319,0.142911,0.123093,0.088101,0.107172,0.562127,0.494577,0.230773
C,0.691543,1.000000,0.614697,0.598680,0.587572,0.534506,0.598100,0.626534,0.553142,0.442329,0.383160,0.362228,0.213600,0.185461,0.147979,0.216947,0.505092,0.419019,0.253908
GS,0.723532,0.614697,1.000000,0.823483,0.571162,0.570235,0.666015,0.690658,0.556295,0.529050,0.478826,0.467307,0.231075,0.225336,0.178106,0.186136,0.601964,0.465566,0.261843
MS,0.638708,0.598680,0.823483,1.000000,0.571829,0.527921,0.658868,0.664036,0.553438,0.526706,0.490299,0.498521,0.266379,0.240716,0.223266,0.227652,0.620211,0.485313,0.268278
HSBC,0.624178,0.587572,0.571162,0.571829,1.000000,0.671280,0.712855,0.646025,0.671771,0.570230,0.469221,0.499333,0.337591,0.339909,0.272708,0.355918,0.625149,0.569951,0.275446
BCS,0.584215,0.534506,0.570235,0.527921,0.671280,1.000000,0.708515,0.587838,0.670491,0.483356,0.406875,0.460717,0.224774,0.214773,0.188238,0.248379,0.558637,0.531537,0.257076
DB,0.705480,0.598100,0.666015,0.658868,0.712855,0.708515,1.000000,0.730134,0.771536,0.603257,0.543884,0.534355,0.225675,0.216872,0.201980,0.245859,0.646184,0.614674,0.296849
UBS,0.694260,0.626534,0.690658,0.664036,0.646025,0.587838,0.730134,1.000000,0.687401,0.577004,0.513828,0.506843,0.245460,0.260409,0.231930,0.216924,0.638285,0.524459,0.293041
ING,0.610120,0.553142,0.556295,0.553438,0.671771,0.670491,0.771536,0.687401,1.000000,0.531205,0.484905,0.479710,0.272232,0.267053,0.257198,0.304010,0.610065,0.568341,0.329969
MUFG,0.530842,0.442329,0.529050,0.526706,0.570230,0.483356,0.603257,0.577004,0.531205,1.000000,0.713093,0.768323,0.238042,0.230704,0.226840,0.277194,0.529899,0.494757,0.241400
NMR,0.464587,0.383160,0.478826,0.490299,0.469221,0.406875,0.543884,0.513828,0.484905,0.713093,1.000000,0.664632,0.255740,0.239143,0.234429,0.221796,0.439786,0.467843,0.200940
MFG,0.450319,0.362228,0.467307,0.498521,0.499333,0.460717,0.534355,0.506843,0.479710,0.768323,0.664632,1.000000,0.279164,0.253177,0.254335,0.276825,0.493872,0.474340,0.200295
ICBC,0.142911,0.213600,0.231075,0.266379,0.337591,0.224774,0.225675,0.245460,0.272232,0.238042,0.255740,0.279164,1.000000,0.841294,0.722913,0.585650,0.368300,0.303331,0.346918
BOC,0.123093,0.185461,0.225336,0.240716,0.339909,0.214773,0.216872,0.260409,0.267053,0.230704,0.239143,0.253177,0.841294,1.000000,0.688178,0.572556,0.335700,0.291851,0.309917
PINGAN,0.088101,0.147979,0.178106,0.223266,0.272708,0.188238,0.201980,0.231930,0.257198,0.226840,0.234429,0.254335,0.722913,0.688178,1.000000,0.552593,0.335020,0.317420,0.294803
DBS,0.107172,0.216947,0.186136,0.227652,0.355918,0.248379,0.245859,0.216924,0.304010,0.277194,0.221796,0.276825,0.585650,0.572556,0.552593,1.000000,0.371405,0.327286,0.334307
ICICI,0.562127,0.505092,0.601964,0.620211,0.625149,0.558637,0.646184,0.638285,0.610065,0.529899,0.439786,0.493872,0.368300,0.335700,0.335020,0.371405,1.000000,0.584320,0.270647
SHIN,0.494577,0.419019,0.465566,0.485313,0.569951,0.531537,0.614674,0.524459,0.568341,0.494757,0.467843,0.474340,0.303331,0.291851,0.317420,0.327286,0.584320,1.000000,0.238794
SBK,0.230773,0.253908,0.261843,0.268278,0.275446,0.257076,0.296849,0.293041,0.329969,0.241400,0.200940,0.200295,0.346918,0.309917,0.294803,0.334307,0.270647,0.238794,1.000000
