"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
14228,"CARLISLE, IA",11574,"1/14/2000","3524","HARTFORD-CARLISLE SB",105044,68549,"FAILURE"
27886,"ATLANTA, GA",1322,"3/10/2000","3525","MUTUAL FEDERAL SAVINGS BANK OF ATLANTA",31479,32234,"FAILURE"
25056,"RIDGECREST, CA",617,"6/2/2000","3526","MONUMENT NATIONAL BANK",7923,7680,"FAILURE"
10985,"ALMELUND, MN",1363,"7/14/2000","3527","TOWN & COUNTRY BANK OF ALMELUND",25942,26667,"FAILURE"
338,"FALKNER, MS",14592,"9/29/2000","3528","BANK OF FALKNER",85485,77140,"FAILURE"
21029,"HONOLULU, HI",400,"10/13/2000","3529","BANK OF HONOLULU",63890,59037,"FAILURE"
3815,"METROPOLIS, IL",2670,"12/14/2000","3530","NATIONAL STATE BANK OF METROPOLIS",90397,71277,"FAILURE"
34264,"MANCHESTER, NH",817,"2/2/2001","3531","FIRST ALLIANCE BANK AND TRUST CO",17438,16931,"FAILURE"
6629,"MALTA, OH",769,"5/3/2001","3532","MALTA NATIONAL BANK",9075,8728,"FAILURE"
32646,"HINSDALE, IL",286673,"7/27/2001","3533","SUPERIOR BANK, FSB",1765455,1609501,"FAILURE"
34248,"GRAVETTE, AR",4206,"9/7/2001","3534","SINCLAIR NATIONAL BANK",29792,26054,"FAILURE"
24382,"MIAMI, FL",101748,"1/11/2002","3535","HAMILTON BANK, NATIONAL ASSOCIATION",1409496,1298731,"FAILURE"
22002,"SIERRA BLANCA, TX",4574,"1/18/2002","3536","BANK OF SIERRA BLANCA",10764,9914,"FAILURE"
8966,"OAKWOOD, OH",63600,"2/1/2002","3537","OAKWOOD DEPOSIT BANK",72267,60168,"FAILURE"
22314,"PHOENIX, AZ",164047,"2/7/2002","3538","NEXTBANK",700180,551297,"FAILURE"
26652,"BOCA RATON, FL",0,"3/1/2002","3539","NET FIRST NATIONAL BANK",37207,31601,"FAILURE"
34979,"SHELBY TOWNSHIP, MI",4440,"3/28/2002","3540","NEW CENTURY BANK",21091,18902,"FAILURE"
19183,"STAMFORD, CT",53784,"6/26/2002","3541","CONNECTICUT BANK OF COMMERCE",384172,344416,"FAILURE"
29355,"CHICAGO, IL",274,"6/27/2002","3542","UNIVERSAL FSB",51628,40340,"FAILURE"
33784,"ATLANTA, GA",1326,"9/30/2002","3543","AMTRADE INTERNATIONAL BANK OF GEORGIA",92144,73205,"FAILURE"
9961,"ALAMO, TN",9316,"11/8/2002","3544","BANK OF ALAMO",58454,52157,"FAILURE"
16445,"CHENEYVILLE, LA",12205,"12/17/2002","3545","THE FARMERS BANK & TRUST OF CHENEYVILLE",35317,32103,"FAILURE"
27094,"TORRANCE, CA",49179,"2/7/2003","3546","SOUTHERN PACIFIC BANK",904294,864160,"FAILURE"
11639,"BLANCHARDVILLE, WI",12788,"5/9/2003","3547","THE FIRST NATIONAL BANK OF BLANCHARDVILLE",34536,28760,"FAILURE"
27203,"PHILADELPHIA, PA",679,"11/14/2003","3548","PULASKI SAVINGS BANK",8487,9058,"FAILURE"
