"CERT","CITYST","COST","FAILDATE","FAILYR","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
30965,"SAN DIEGO, CA",327146,"5/31/1985","1985","1000","CENTRAL S&LA",2308903,1680711,"ASSISTANCE"
18388,"FAIRFIELD, NE",1656,"5/31/1985","1985","1001","FAIRFIELD STATE BANK",6795,6034,"FAILURE"
5177,"LAKEFIELD, MN",9450,"5/31/1985","1985","1002","FIRST TRUST BANK OF LAKEFIELD",24288,22126,"FAILURE"
19117,"OAK, NE",165,"5/31/1985","1985","1003","SCROGGIN & COMPANY BANK",3552,3219,"FAILURE"
18738,"EDGAR, NE",1118,"5/31/1985","1985","1004","SECURITY STATE BANK",6570,6072,"FAILURE"
28621,"BEVERLY HILLS, CA",223825,"6/6/1985","1985","1005","SOUTHERN CALIFORNIA  S&LA",1492644,1263750,"ASSISTANCE"
31323,"NASHVILLE, TN",3638,"6/7/1985","1985","1006","COMMUNITY FS&LA",22747,18798,"FAILURE"
31674,"KNOXVILLE, TN",1529,"6/7/1985","1985","1007","MAGNOLIA FS&LA",4816,3649,"FAILURE"
18551,"RIVERTON, WY",10568,"6/11/1985","1985","1008","AMERICAN NATIONAL BANK OF RIVERTON",37937,39595,"FAILURE"
4657,"EDNA, KS",2827,"6/13/1985","1985","1009","THE FIRST STATE BANK",8325,8119,"FAILURE"
11613,"DODGEVILLE, WI",2,"6/14/1985","1985","1010","STRONG'S BANK",30733,28240,"FAILURE"
1602,"BENSON, MN",8386,"6/14/1985","1985","1011","SWIFT COUNTY BANK",41598,38007,"FAILURE"
10507,"DEXTER, KS",1280,"6/20/1985","1985","1012","FARMERS STATE BANK OF DEXTER",4267,4166,"FAILURE"
28745,"SAN CARLOS, CA",453308,"6/21/1985","1985","1013","EUREKA FS&LA",1570628,1364360,"ASSISTANCE"
4165,"OKLAHOMA CITY, OK",32615,"6/21/1985","1985","1014","FIRST CITY BANK, N.A.",97808,92708,"FAILURE"
22452,"NEW YORK, NY",0,"6/21/1985","1985","1015","GOLDEN PACIFIC NATIONAL BANK",146254,131418,"FAILURE"
13153,"URBANA, IA",810,"6/21/1985","1985","1016","URBANA SAVINGS BANK",7158,6325,"FAILURE"
31891,"NEW ORLEANS, LA",166227,"6/25/1985","1985","1017","AUDUBON S&LA",211301,222109,"FAILURE"
32015,"BATON ROUGE, LA",29713,"6/25/1985","1985","1018","COMMUNITY FS&LA",47936,46831,"FAILURE"
32098,"NEW ORLEANS, LA",53664,"6/25/1985","1985","1019","CRESCENT SAVINGS BANK",89114,83950,"FAILURE"
31480,"NEW ORLEANS, LA",73507,"6/25/1985","1985","1020","NEW ORLEANS S&LA",118050,105339,"FAILURE"
32029,"COVINGTON, LA",89333,"6/25/1985","1985","1021","NORTHLAKE S&LA",141383,148074,"FAILURE"
28913,"LAKE PROVIDENCE, LA",156154,"6/25/1985","1985","1022","SUN BELT FEDERAL BANK, FSB",278335,269111,"FAILURE"
31940,"SHAWNEE MSN, KS",16154,"6/26/1985","1985","1023","CENTURY SA",91832,44968,"ASSISTANCE"
4968,"TRACY CITY, TN",2912,"6/28/1985","1985","1024","FIRST BANK & TRUST",21123,19718,"FAILURE"
31839,"BATESVILLE, MS",4110,"7/1/1985","1985","1025","CITIZENS S&LA",18387,13257,"ASSISTANCE"
10510,"MADISON, KS",2479,"7/2/1985","1985","1026","MADISON BANK",8392,7739,"FAILURE"
14837,"JACKSONVILLE, AL",9086,"7/5/1985","1985","1027","THE FIRST NATIONAL BANK OF JACKSONVILLE",43290,39643,"FAILURE"
22163,"OKLAHOMA CITY, OK",6920,"7/11/1985","1985","1028","CROSSROADS STATE BANK",17776,17101,"FAILURE"
