qubit,ticker,name,node_type,business_type,region,cluster,bloc,baseline_target_pd,ber_pd,gcop_pd,tcop_pd,ebm_pd,hw_stressed_target_pd,hw_observed_pd,ebm_mean_abs_corr,hw_mean_abs_corr
0,JPM,JPMorgan Chase,bank,universal,US,0,A:US+CA,0.0008,0.0015,0.001,0.0005,0.001,0.06939,0.140335,0.03274,0.14193
1,BAC,Bank of America,bank,universal,US,0,A:US+CA,0.0008,0.001,0.00075,0.0005,0.00025,0.06939,0.174385,0.02312,0.12175
2,C,Citigroup,bank,universal,US,0,A:US+CA,0.0031,0.00325,0.00225,0.002,0.00225,0.22458,0.212605,0.01819,0.14915
3,WFC,Wells Fargo,bank,universal,US,0,A:US+CA,0.0031,0.00425,0.00225,0.00375,0.002,0.22458,0.218915,0.03943,0.16631
4,GS,Goldman Sachs,bank,investment,US,0,A:US+CA,0.0031,0.0025,0.0035,0.002,0.0035,0.22458,0.31165,0.01487,0.16557
5,MS,Morgan Stanley,bank,investment,US,0,A:US+CA,0.0008,0.00025,0.0005,0.00125,0.001,0.06939,0.345705,0.03516,0.144
6,USB,U.S. Bancorp,bank,regional,US,0,A:US+CA,0.0008,0.001,0.00075,0.00025,0.0005,0.06939,0.37916,0.02114,0.08904
7,PNC,PNC Financial,bank,regional,US,0,A:US+CA,0.0008,0.0015,0.00075,0.00125,0.0,0.06939,0.21887,0.0,0.12973
8,TFC,Truist Financial,bank,regional,US,0,A:US+CA,0.0008,0.00075,0.0005,0.0005,0.00025,0.06939,0.391105,0.0364,0.13492
9,BK,Bank of New York Mellon,bank,custodian,US,0,A:US+CA,0.0008,0.0005,0.00125,0.0,0.0,0.06939,0.268865,0.0,0.13906
10,STT,State Street,bank,custodian,US,0,A:US+CA,0.0008,0.0005,0.00125,0.0005,0.001,0.06939,0.30677,0.00921,0.12755
11,HSBC,HSBC Holdings,bank,universal,UK,2,C:EU+UK,0.0008,0.0015,0.00075,0.0005,0.00025,0.06939,0.099025,0.00058,0.1811
12,BCS,Barclays,bank,universal,UK,2,C:EU+UK,0.0031,0.00325,0.0015,0.00375,0.0025,0.22458,0.200185,0.04243,0.21012
13,LYG,Lloyds Banking Group,bank,regional,UK,2,C:EU+UK,0.0031,0.0035,0.004,0.004,0.002,0.22458,0.164115,0.02333,0.2027
14,DB,Deutsche Bank,bank,universal,EU,2,C:EU+UK,0.0008,0.00075,0.00075,0.00175,0.00025,0.06939,0.15604,0.02856,0.16508
